	gene
6448	K10D11.3
7809	gst-25
7015	acs-9
7474	C34B7.1
8053	clec-59
7811	T25B6.6
8055	F28H7.2
8056	K12B6.11
8284	clec-39
8285	clec-71
8059	K05F6.10
8286	clec-47
8287	F38A1.6
6449	asp-6
7016	ugt-43
7477	ifc-1
7814	F48G7.8
8288	R10D12.6
8289	sri-70
7815	cpr-4
7017	R193.2
7818	cpr-5
8292	str-43
8293	srd-35
8069	M04D5.3
8295	ilys-2
5819	F53B2.8
6451	dod-19
7019	msra-1
5820	ace-3
6452	K07C11.8
7020	C13A2.5
7482	E04D5.4
7829	F20D6.2
6453	ZK673.1
7486	F21C10.9
8074	T25G12.13
8075	clec-127
8077	F58F9.6
8078	W02D7.8
7834	arrd-3
7835	srx-115
8082	Y57E12B.4
8313	F26D10.13
6454	F14F9.2
8316	clec-29
8542	B0462.5
8086	str-178
8324	T06E6.15
8549	spp-11
8551	F11D11.22
8326	clec-218
8093	fbxa-190
7841	pals-5
8558	F38A1.15
8760	K10G4.5
8761	EGAP2.2
7026	glct-1
7843	Y54G2A.38
7027	F25B4.8
7496	C01B10.6
7844	cyp-13A7
7845	H34I24.2
8560	C25F9.8
8561	fbxa-38
7497	clec-265
7846	F55G11.7
8104	F23F12.13
8341	clec-49
8567	sre-11
8769	B0334.20
8915	R11E3.2
4583	gst-10
5198	pud-1.1
6457	slc-9B.2
7029	nspg-3
8107	F55G7.4
5823	fbxa-157
7501	Y64G10A.1
7031	Y6E2A.1
7504	str-217
8347	C25F9.13
7505	srh-47
8113	Y105C5A.1270
8350	F41B5.12
8351	Y39H10B.3
5199	B0252.1
5824	drd-5
6460	lips-11
6461	W02B12.1
7507	C46F2.1
7859	F31F4.1
8354	cTel54X.2
8578	nas-19
8579	clec-57
8355	clec-56
8580	clec-85
8581	F19C7.4
8357	srx-4
5825	lec-8
6462	F55G1.7
7862	flp-23
8589	T09E11.6
8363	srab-22
8125	srg-14
7867	clec-31
8128	F11D11.3
8129	sre-19
6463	clec-202
7040	nspg-1
7513	W02A2.5
7868	thn-4
7869	F17B5.10
7041	chil-19
8373	C55B6.7
8135	R09D1.14
8375	gly-17
8136	B0302.4
8377	rabr-4
8611	C25A1.15
7515	ugt-44
7873	cyp-33C5
3943	edc-4
5200	inx-16
6465	gon-2
7516	T10B5.7
8140	F42H10.6
8384	C03H5.4
8385	srbc-25
8617	gnrr-3
7876	srw-138
8147	trpl-5
7043	F09G2.1
8148	clec-40
8149	str-124
7879	F49H6.13
8396	Y113G7B.12
8397	F58E6.4
7519	str-46
8398	ZK1240.8
8399	T16G12.8
8154	F26F2.1
8402	C50H2.13
8403	F40D4.13
5827	pud-2.2
6467	F52D1.2
7521	pes-5
7045	grl-26
5201	K02B12.2
7526	C49G7.12
7527	srj-6
6469	T05D4.2
7528	oac-4
7894	fbxb-38
7895	ref-1
7049	tbx-43
7530	cdc-25.2
7896	ceh-10
7897	Y51A2A.16
7531	ZK402.2
7899	F58D2.4
5829	clec-196
6470	dhs-8
7050	hmbx-1
7532	sdz-31
7533	hnd-1
7051	rmd-2
7534	C09B8.4
7904	cest-34
7905	F56A4.4
7535	F14H12.6
7906	Y38E10A.34
7907	F07A11.5
8183	nspe-2
7052	rips-1
7537	acdh-1
7908	ZK1240.1
8186	Y62H9A.11
8187	scl-12
8191	ZK262.20
7539	pgp-6
7913	cyp-34A9
5202	Y59A8B.26
5203	osta-3
5832	hil-4
6472	glh-1
7054	bath-36
7915	F13A2.5
8194	nhr-111
8428	R13A1.10
8645	sre-16
8817	srd-59
8195	F13A2.1
8431	srh-177
7541	sip-1
8196	C04G6.6
8197	F13A2.2
8434	Y20F4.4
8435	ZC262.12
7917	F16B4.6
8198	Y47G7B.2
8438	T16H12.13
8655	C16C8.20
8820	E02H9.1
8821	Y73B3A.11
8439	srx-44
8822	K11D2.1
8823	C16C8.25
8934	C02B8.1
8935	R03D7.15
8998	Y111B2A.21
8999	ZK643.6
7055	erh-1
7542	timm-17B.2
8201	Y53F4B.10
8202	C01G12.16
8444	F49H6.5
8445	bath-13
8829	C16C8.21
7543	C36B1.11
8832	math-31
8833	T25B2.4
8669	H11E01.2
8449	F15D4.6
8206	Y37E11AM.4
8450	cin-4
8451	Y73F8A.32
8452	Y67D8C.6
8678	F49H6.8
8949	Y52E8A.1
9006	scrt-1
6473	clec-87
7056	tbb-2
7544	aldo-2
7922	ceh-51
8209	sdz-5
8454	sdz-11
8455	his-67
7923	Y43F11A.1
8210	sdz-15
8211	aptf-4
8458	fbxb-49
8459	C35D6.3
7545	ZC308.4
7924	grif-1
8213	F44E2.8
8460	ZK1320.7
8461	mtx-1
8691	tre-1
7925	ckb-2
8215	C17E7.9
8462	sdz-37
8692	math-7
8693	tag-276
8695	fnip-2
7057	ufm-1
7546	rmd-1
7926	cpg-3
8216	C24D10.5
8217	C17E7.12
8466	Y46H3C.7
8696	F56H6.2
8697	rgs-9
8860	T27A8.2
8861	irld-26
8698	W06D11.5
8699	srd-42
9011	K09H9.1
9037	B0416.10
8959	F31F6.3
9039	clec-134
9013	lips-2
8218	ZK105.3
8468	H12I13.6
8469	his-66
8703	F20B6.5
8219	ilys-5
8704	C27C12.3
8869	sydn-1
8963	meg-4
8870	srg-62
7547	phm-2
7928	ife-1
8473	col-87
8221	F46A9.1
8474	K10D2.8
8709	nyn-3
8874	W04E12.4
8875	T23E1.3
8475	Y69A2AR.46
8710	T23B5.6
8711	Y116A8C.465
8879	F07B7.7
8973	C15H11.10
7929	unc-25
8222	lim-9
8223	ins-23
6474	spig-9
7548	T07G12.2
7549	C09G9.5
7933	Y49F6B.12
7059	ZK105.6
7550	mltn-13
7551	R11D1.3
7937	clec-185
8228	ZK218.4
8229	nhr-290
7060	dct-16
7553	Y119D3B.21
7940	fipr-2
8233	Y73F4A.2
8486	myo-1
8714	F41E6.15
8715	C45G9.6
8487	fipr-6
8717	abu-9
7941	clec-103
8234	C33A12.4
8489	nex-4
8718	flp-27
8719	daf-28
8235	Y26E6A.3
8490	lec-4
8491	acp-6
8722	C16B8.3
8892	T28D6.3
8893	C17F4.7
8983	vit-2
9018	ZC155.4
9046	vit-6
9047	K02E11.7
9019	nlp-20
