	gene
1683	ZK218.1
1688	F19F10.14
1689	F11C7.6
715	scl-27
1053	Y113G7B.27
1386	fmo-2
1387	arrd-11
233	C26F1.1
425	srlf-1
1055	D1053.2
1390	F16G10.14
1700	C17H12.8
2428	srh-269
2429	C03E10.3
2430	C41H7.2
1702	T09E11.8
1703	fbxa-163
2026	srbc-44
2027	ugt-35
2435	F52G3.8
125	C17C3.3
718	R07C12.3
1058	cyp-13A6
1704	T26C12.2
2030	C06E4.6
2438	srj-54
2033	catp-2
2440	C02E7.10
2441	srbc-84
1707	Y57G11C.30
1060	T24E12.3
1401	ZK228.1
1713	C26E1.2
1064	srj-45
1405	grl-28
1406	F40D4.12
2044	srw-15
428	Y79H2A.4
429	clec-101
1068	R08E5.1
1726	T04G9.6
2055	K12H6.8
63	nuo-3
126	ant-1.1
236	pat-10
430	tag-18
727	cpg-9
1072	cox-6C
1414	T14G8.6
1731	clec-139
1415	W08A12.2
1732	ZC518.8
2058	tni-3
2059	sbsp-1
1733	C25E10.10
1073	lbp-2
1417	nlp-23
431	ttn-1
728	ttr-16
1074	ttr-17
1418	inx-18
1736	F13G3.12
1737	F30H5.5
2068	srlf-23
2469	del-1
1739	T03E6.9
2070	T03E6.8
1420	T21B6.3
2074	srv-31
1421	tsp-17
1742	ZC487.2
2077	C05B5.16
2479	ZC373.3
2078	T22F3.12
2482	K01D12.20
2483	T06E8.2
2903	Y37F4.4
729	spp-10
1076	act-3
1744	F09E10.7
1745	F38B2.2
2083	pyt-1
1423	sca-1
1746	C32D5.8
1747	ctsa-1.1
2906	clec-257
5209	srx-122
2489	C04G2.10
2087	btb-14
2490	EGAP4.1
2910	F17C11.4
5212	C36C5.14
5847	str-64
4596	F07B7.13
5218	sra-39
5219	C50F7.5
5854	srlf-13
5855	F41G4.7
4598	C17B7.3
5858	T28A11.3
6503	T25F10.1
5226	T12A7.10
6506	C01B7.7
7077	ZC190.5
6508	C28D4.10
7081	oac-3
2911	srp-3
4603	txt-3
3972	Y32F6B.9
3973	C25E10.7
3974	F54B11.9
5232	mab-23
5869	T28A11.20
7085	fbxa-188
6518	F20D6.12
7569	clec-122
1077	W05B5.1
1424	sgcb-1
1748	grl-18
2089	avr-14
2492	F49C5.7
2493	nlp-58
1749	tnt-3
2921	Y102A11A.1
2091	sfrp-1
2496	gsnl-1
2922	nas-17
2923	R03E9.2
3401	T02H6.6
3979	sru-48
2497	ZC374.2
2924	R04B5.6
3980	T10B11.4
3981	C53D5.1
3403	M6.4
3982	F33E2.10
3983	egl-13
4621	sri-31
5242	Y82E9BR.20
5879	sodh-2
2925	sri-24
1425	perm-2
1750	perm-4
2093	C44B7.5
2499	frm-1
2926	F39G3.2
2927	ddo-3
1751	lbp-3
2095	C53B7.2
2500	C50C3.2
2929	sdf-9
3410	Y69H2.15
3411	C17B7.8
2501	C53B7.3
2931	egl-15
237	rpl-12
432	rpl-7A
2932	ZK666.12
2933	Y48G9A.6
2097	srz-62
2508	srw-55
2940	trx-5
4000	R53.8
2942	F09G8.10
2943	clec-70
2944	M04G7.5
3435	srw-73
3438	C49C8.2
4012	Y45F3A.5
4013	srx-59
4637	clec-114
3441	C07E3.8
2950	F46C3.2
3444	col-164
3445	nhr-265
2103	stl-1
1756	far-4
1757	prmt-4
2106	F31F4.11
2521	C33G8.13
3448	F17B5.4
3449	sdz-19
2957	csp-3
2529	C36C5.15
731	txdc-9
2533	chkr-1
4041	B0563.18
1081	iff-2
1432	tba-8
2120	R13D11.3
2121	eff-1
2984	ptr-8
2985	C18A11.4
4042	srbc-6
4043	T04H1.12
2543	pkd-2
2986	fbxb-14
1765	dpy-9
2122	K02H11.4
2547	F53F4.7
2990	pals-31
3491	srsx-8
1433	jun-1
1766	mnm-2
2124	B0310.3
2548	T06D4.2
2992	C56G3.2
3495	H05L14.3
4051	K02H11.9
4052	F53H4.6
4667	Y53H1A.7
4055	F23C8.3
4671	C03B1.14
