	gene
1074	R08E5.1
1718	T04G9.6
2017	K12H6.8
63	bpnt-1
126	sqt-3
238	dpy-14
744	W07G4.1
1078	C35A5.11
1422	nstp-3
2019	C01G5.7
1721	srx-42
2021	spig-6
1423	F40H3.3
1723	F46E10.3
1424	far-5
1724	spe-27
2025	D1046.16
2027	H40L08.2
2328	cyp-13B2
2329	F32F2.4
2663	C03D6.1
1425	nhr-201
1726	daf-11
2330	mltn-7
2331	D2023.1
2332	cyp-29A4
2333	npr-31
3017	C47F8.6
435	nhr-163
746	sym-1
1080	F58H10.1
1426	aass-1
2338	sru-19
2339	K02E7.7
2034	Y105C5B.15
2342	mdt-21
2343	spp-12
1427	ced-1
1730	F55C9.5
2036	arl-5
2037	F49C5.12
2347	srx-80
1731	K08E3.2
2038	F44A6.3
3022	nhr-5
3023	tag-138
2689	K11H12.7
3024	str-101
3025	C07A4.2
2690	Y43F8B.22
3028	dmsr-13
2350	T05E12.8
2694	her-1
3399	str-225
3035	srab-25
2040	gpdh-1
3039	sre-26
1733	jac-1
2042	otpl-6
3040	M01B2.12
2702	Y53H1B.4
2703	sre-27
2043	nhr-165
2358	M03A1.3
2705	nhr-77
2359	F21G4.1
3048	Y43F8B.17
3806	srx-118
3415	F40D4.12
1429	VC5.2
1734	mlst-8
2044	K09D9.1
2045	bgnt-1.5
2362	Y57G7A.11
2363	col-64
2046	tdo-2
2364	C54F6.19
2365	algn-14
2715	Y7A5A.2
2367	F59D6.1
747	lpr-6
1082	ttr-59
2718	T11G6.3
2719	nhr-30
2371	T13C5.9
2722	str-193
3062	str-243
3063	clec-102
2050	far-3
2372	F49C12.2
2373	F08D12.4
2729	zig-3
2730	K01B6.4
3070	srx-96
1083	W06A11.1
1432	F01D5.6
1738	srh-46
1739	T26C5.2
2054	C03A3.3
2380	C30G12.4
2732	K08D12.4
2733	H13N06.7
2734	Y54G2A.28
2735	hlh-32
2382	Y32B12A.5
3438	hlh-19
2739	str-15
2384	cutl-5
2741	nhr-253
3087	grd-16
1741	cpin-1
2058	haly-1
2386	R12C12.5
2387	uroc-1
2747	F47H4.2
2388	dbr-1
2748	ceh-5
2749	C01G10.5
3821	srbc-12
3097	F49F1.11
3824	F19G12.4
239	cut-2
436	grl-15
748	dhp-1
1084	T24A6.16
1435	Y68A4B.3
1085	T23F6.5
749	Y37A1B.7
1438	W04G5.5
1748	oac-37
2063	F49F1.9
1749	C17F4.3
2065	ZK105.8
1087	wrt-2
1440	C07A9.5
2394	T15D6.1
2395	R07B7.12
1752	ZC168.2
2070	C14C6.8
2071	F49C12.5
437	col-74
750	col-109
1088	col-14
1755	sre-29
1443	srlf-34
1757	nhr-233
1089	unc-8
1444	C29G2.3
1758	ZC262.10
1759	T07G12.5
2080	srg-53
1445	lgc-46
1760	col-33
2082	dat-1
2760	F16G10.2
2761	ZK688.1
2410	Y57E12B.1
2411	F17C11.22
2764	C26G2.2
2765	ptr-17
2412	try-4
2413	F55E10.2
2769	K11H12.10
2085	trp-4
2415	F35H8.12
751	Y64H9A.2
1090	cnc-6
1762	C38C6.3
1763	T03F7.7
1091	acdh-6
1448	R12E2.15
1449	col-34
1766	F32A7.8
2092	nspf-2
2093	srb-15
2421	oac-17
2095	F09G8.5
2422	glb-17
2774	H05C05.4
3112	glb-21
3113	Y43F8B.20
2775	F43C11.16
2423	F47B7.4
127	aly-3
240	msp-59
438	Y1A5A.1
752	F25B3.4
1092	Y69A2AR.50
1451	C29E4.17
1768	Y32B12B.8
1769	T15B12.2
1452	R09E10.8
1770	Y116A8C.468
2103	oac-19
1453	C44C10.7
1772	bre-4
2104	nep-3
2426	Y119C1B.11
2427	C08D8.1
2105	F41F3.9
2429	C24H12.6
2785	F46F5.16
1773	Y39F10A.6
753	W01B6.4
1094	Y116A8A.7
2108	C25G4.7
2109	F55G11.6
2434	str-165
2435	F41D3.6
1455	Y46B2A.3
1776	H12I13.1
2112	F58G1.8
2792	nhr-282
2793	Y53G8AM.6
2438	sra-23
