	gene
7881	pah-1
8206	C16B8.3
8207	Y47D7A.6
8502	F21C10.13
8742	gst-21
8743	vit-2
8916	C17F4.7
8917	vit-3
8503	T28D6.3
1107	his-41
1480	flp-11
1820	F53F4.2
2190	unc-13
2191	Y44A6D.7
1821	F46C5.7
1481	hil-7
1822	pcf-11
2194	ZK813.6
2572	D1054.9
2968	srr-1
3342	C17H11.5
4102	T14G12.6
4544	ptr-19
4545	sre-40
5080	srh-211
5081	Y75B8A.33
4556	srt-39
4113	srsx-36
5093	srw-112
2573	nspg-5
2970	ZC449.5
3346	B0198.3
3734	cutl-24
4118	ZK643.2
4119	col-53
4565	str-18
4120	Y54G2A.26
5096	F36H5.12
5097	Y73C8C.4
4567	madd-4
5099	unc-42
5689	C29H12.6
6316	ptb-1
6317	tsp-7
4121	cutl-13
4568	nhr-129
4569	F14F9.5
5103	scl-11
4123	mam-5
2971	W04E12.9
3348	W01C9.1
3738	cutl-11
5695	C38H2.3
5697	srx-6
5113	W01C9.2
5114	srh-34
5118	F41H10.12
3349	T01E8.8
3740	nep-1
4128	nhr-173
5724	srx-54
7451	F11D5.7
5727	K04G11.1
5728	Y5H2A.1
6357	Y47D7A.3
6954	srz-54
5735	irld-36
6361	F38H12.5
5133	F54D12.8
5739	C44C10.10
4586	C33C12.11
5740	pals-11
5741	F54D12.1
4587	F35A5.5
5743	srd-48
2195	W04A8.4
2574	vab-3
2972	idh-1
3742	tag-4
4132	C35E7.6
4590	hil-6
4591	Y46C8AL.11
3743	cpt-5
4134	cutl-25
5745	grl-29
4135	fbxc-15
4594	str-32
5145	frpr-19
5146	che-1
5748	tmem-145
5749	gst-17
5147	Y7A5A.9
3744	Y37E3.30
4596	C01G6.3
5148	F45E10.2
5149	C17H11.4
5754	ZK938.11
5755	F27D4.12
4597	F26F2.5
4599	srz-23
4138	F48G7.4
4600	F36F2.7
5154	pax-3
6392	pbo-6
5765	str-139
6394	T27A8.7
6395	Y80D4G.2
5766	Y43F8B.9
4602	Y42G9A.3
5158	srh-308
4603	dyf-5
5160	F47C12.6
5161	Y43F8C.16
5775	Y110A2AL.7
2973	natc-2
3352	aqp-2
4140	T05A7.3
4141	hot-6
4606	ZK262.9
6413	clec-112
6993	C46E10.3
5165	Y54G2A.57
3747	fig-1
4142	T15D6.8
5166	K08C9.6
5785	math-38
4143	T19E7.6
4610	madf-1
4611	mltn-3
5171	glna-2
3748	D2024.4
4613	srx-128
4615	mam-8
5176	tba-6
6424	Y7A5A.13
6425	srbc-1
5178	Y38E10A.2
5179	srab-9
6428	srw-113
5180	ZK816.3
5802	sri-61
5803	Y55B1BL.2
4618	lips-11
5804	srlf-9
6436	nstp-7
2575	T02E9.5
2974	hbl-1
3354	eva-1
3750	F18C5.9
4148	flp-19
4149	K05C4.2
4623	dyf-7
3751	F38B6.6
4150	arl-3
4624	egl-1
4625	C03C10.5
5190	trx-1
5191	mks-2
4151	cutl-3
4626	mig-1
5193	twk-35
5815	F54D12.10
6438	wve-1
6439	nas-3
4627	cutl-16
5194	cutl-10
5817	unc-3
6441	ncr-1
7016	col-86
7017	Y41G9A.6
5195	T09F5.2
5818	sem-4
5819	C18D4.6
6445	F21A3.3
3355	enpl-1
3752	Y65A5A.1
5820	F35E8.10
5821	T02E9.6
6451	sre-32
4629	nhr-242
5824	ensh-1
7028	clec-189
7029	str-71
5200	clec-260
6460	str-140
6461	srbc-65
6463	srz-83
4631	F23D12.10
5832	dmsr-5
6467	srh-42
7489	srbc-78
3753	F54E2.2
5835	clec-68
5836	oac-32
5206	ZK218.3
7055	K10D11.4
4634	ace-4
7505	ZK228.13
7059	T09A12.8
5843	nas-33
6484	sknr-1
6485	T22B2.5
7067	srw-41
7519	Y19D10A.2
7521	clec-90
6493	F09C6.15
6494	F35E8.2
7079	Y53F4B.5
2975	his-24
3356	hlh-16
3357	fbxa-3
3756	E01G4.5
4156	ins-2
4638	cnd-1
4639	npp-26
3757	fbxc-34
4640	lin-11
5218	gpa-9
5219	fbxc-20
6498	fbxa-103
6499	Y53F4B.17
5860	C07C7.1
6500	Y73F8A.22
5861	nhr-207
6502	C09G12.17
7089	duox-2
6503	hpo-7
4159	lin-32
5863	C37E2.3
6507	Y113G7B.11
5224	F53G2.1
5225	zip-7
5866	F53B6.13
7098	thn-6
7099	str-14
7101	sdz-28
1823	hsp-12.2
2576	lmd-5
2976	scl-5
3759	srd-53
3760	C17B7.9
3762	cri-1
4171	jmjd-4
2577	F41G3.3
3362	dlc-5
3765	T26A8.3
3363	dpf-1
3766	K05G3.2
3767	Y39A3B.1
4658	F20A1.8
4659	F09C6.11
4179	C13A2.10
4661	srb-1
2979	Y62F5A.9
3364	W09G12.7
4662	smf-2
5875	F16H6.3
4182	irld-62
5250	srh-223
5251	oac-13
4183	Y25C1A.2
5255	sre-2
3365	lhfp-4
4184	twk-9
4670	nmur-3
5260	T04C4.3
5886	F41E7.9
5887	T06C12.14
8221	T12A2.21
6530	Y43F8B.19
4187	ZK265.7
4674	ZK177.11
5267	K04H8.3
6534	F20A1.4
6535	D1086.21
7117	F40H6.5
5268	T24D5.3
6540	gst-29
6541	glt-5
2197	tnc-2
2578	W08E12.2
2980	W08E12.4
3366	nas-1
3367	twk-12
2981	nspb-8
2579	abu-14
2982	cpg-19
3370	K06A9.2
4676	C33B4.5
4189	Y48A6B.8
5912	vmo-1
6548	mgl-3
7132	srj-7
7133	nhr-27
5281	ceh-84
5915	T25E4.2
3780	Y102A5C.40
5285	Y37H2A.11
3781	tfbm-1
4195	ZC15.3
2983	idpc-1
3372	ZK662.2
3782	idpc-7
4197	glb-6
4198	T26E4.10
6557	srlf-37
5920	srg-59
3784	idpc-5
4699	lgc-19
5295	sru-28
4700	C41C4.9
4701	srd-51
4203	T24C12.4
5301	idpp-8
5930	epic-3
7140	srlf-26
7142	C54E10.10
5933	Y51H7BR.8
